number,title,character,line
4,Star Trek IV: The Voyage Home,UHURA,Aye sir.
4,Star Trek IV: The Voyage Home,KIRK,Chekov?
4,Star Trek IV: The Voyage Home,CHEKOV,Aye sir.
4,Star Trek IV: The Voyage Home,KIRK,Sulu?
4,Star Trek IV: The Voyage Home,SULU,Aye sir.
4,Star Trek IV: The Voyage Home,KIRK,"Let the record show that the commander and the crew of the late Starship Enterprise have voted unanimously to return to Earth to face the consequences of their actions in the rescue of their comrade, Captain Spock. ...Thank you all. ...Repair stations, please."
4,Star Trek IV: The Voyage Home,KIRK,Mister Scott!
4,Star Trek IV: The Voyage Home,SCOTT,Aye sir?
4,Star Trek IV: The Voyage Home,KIRK,How soon can we be underway?
4,Star Trek IV: The Voyage Home,SCOTT,"Give me one more day, sir. Damage control is easy. Reading Klingon, That's hard. Mc"
4,Star Trek IV: The Voyage Home,COY,"You'd think they could at least send a ship. It's bad enough to be court marshaled and spend the rest of our lives mining borite, ...but to go home in this Klingon flea trap..."
4,Star Trek IV: The Voyage Home,KIRK,We could learn a thing or two from this flea trap. It's got a cloaking device that cost us a lot. Mc
4,Star Trek IV: The Voyage Home,COY,I just wish we could cloak the stench.
4,Star Trek IV: The Voyage Home,SPOCK,"Computer. Resume testing. ...T'plana-Hath, matron of Vulcan philosophy"
4,Star Trek IV: The Voyage Home,TEST COMPUTER VOICE,What is the molecular formula of aluminum sulfide crystal?
4,Star Trek IV: The Voyage Home,TEST COMPUTER VOICE,"...White Queen to section five, grid six. Queen takes Knight. Rook takes Queen. White pawn to section five, grid seven, pawn takes rook. Checkmate."
4,Star Trek IV: The Voyage Home,TEST COMPUTER VOICE,...Correct. What significant contribution to bioengineering was made on the Loonkerian outpost on Klendth?
4,Star Trek IV: The Voyage Home,SPOCK,The universal atmospheric element compensator.
4,Star Trek IV: The Voyage Home,TEST COMPUTER VOICE,Evaluate and conclude. A starship's sensors indicate it is being pursued so closely that it occupies the same space as its pursuer.
4,Star Trek IV: The Voyage Home,TEST COMPUTER VOICE,...Correct. Identify object and it's cultural significance.
4,Star Trek IV: The Voyage Home,SPOCK,Klingon mummification glyph.
4,Star Trek IV: The Voyage Home,TEST COMPUTER VOICE,What was the principle historical event on the planet Earth in the year nineteen eighty-seven?
4,Star Trek IV: The Voyage Home,TEST COMPUTER VOICE,...Correct. What is Kiri-kin-tha's first law of metaphysics?
4,Star Trek IV: The Voyage Home,SPOCK,Nothing unreal exists.
4,Star Trek IV: The Voyage Home,TEST COMPUTER VOICE,...Correct. Adjust the sine wave of this magnetic envelope so that anti-neutrons can pass through it but anti-gravitons cannot.
4,Star Trek IV: The Voyage Home,TEST COMPUTER VOICE,...Correct. What is the electronic configuration of gadolinium?
4,Star Trek IV: The Voyage Home,TEST COMPUTER VOICE,...Correct. How do you feel? ...How do you feel?
4,Star Trek IV: The Voyage Home,SPOCK,I do not understand the question.
4,Star Trek IV: The Voyage Home,AMANDA,"What is it, Spock?"
4,Star Trek IV: The Voyage Home,SPOCK,"I do not understand the question, Mother."
4,Star Trek IV: The Voyage Home,AMANDA,You're half human. The computer knows that.
4,Star Trek IV: The Voyage Home,SPOCK,The question is irrelevant.
4,Star Trek IV: The Voyage Home,AMANDA,"Spock, ...the retraining of your mind has been in the Vulcan way, so you may not understand feelings. But as my son, you have them. They will surface."
4,Star Trek IV: The Voyage Home,SPOCK,"As you wish, since you deem them of value. But I cannot wait here to find them."
4,Star Trek IV: The Voyage Home,AMANDA,Where must you go?
4,Star Trek IV: The Voyage Home,SPOCK,I must go to Earth. To offer testimony.
4,Star Trek IV: The Voyage Home,AMANDA,You do this ...for friendship?
4,Star Trek IV: The Voyage Home,SPOCK,"I do it because I was there,"
4,Star Trek IV: The Voyage Home,AMANDA,Spock. Does the good of the many outweigh the good of the one?
4,Star Trek IV: The Voyage Home,SPOCK,I would accept that as an axiom.
4,Star Trek IV: The Voyage Home,AMANDA,"Then you stand here alive because of a mistake ...made by your flawed, feeling, human friends. They have sacrificed their futures because they believed that the good of the one, ...you, ...was more important to them."
4,Star Trek IV: The Voyage Home,SPOCK,Humans make illogical decisions.
4,Star Trek IV: The Voyage Home,AMANDA,"They do, indeed."
4,Star Trek IV: The Voyage Home,SARATOGA HELMSMAN,Here it comes now.
4,Star Trek IV: The Voyage Home,SARATOGA CAPTAIN,What's causing that?
4,Star Trek IV: The Voyage Home,SARATOGA SCIENCE OFFICER,Their call is being carried on an amplification wave of enormous power!
4,Star Trek IV: The Voyage Home,SARATOGA CAPTAIN,Can you isolate the wave?
4,Star Trek IV: The Voyage Home,SARATOGA SCIENCE OFFICER,Negative. It's impacting on all our systems!
4,Star Trek IV: The Voyage Home,SARATOGA CAPTAIN,"Yellow Alert! Shields up. Helm, reduce closing speed!"
4,Star Trek IV: The Voyage Home,SARATOGA HELMSMAN,Thruster controls have been neutralized!
