number,title,character,line
9,Star Trek: Insurrection,ADISLO,"Captain, Hars Adislo, we met at the Nel Bato Conference last year. Did you ever have a chance to read my paper on thermionic transconductance?"
9,Star Trek: Insurrection,PICARD,Would you excuse me?
9,Star Trek: Insurrection,DOUGHERTY,He's not acknowledging any Starfleet protocols. Not responding to any of our hails.
9,Star Trek: Insurrection,PICARD,Have you any idea what precipitated his behavior?
9,Star Trek: Insurrection,DOUGHERTY,None. Now he's holding our people hostage down there.
9,Star Trek: Insurrection,PICARD,"Well the Enterprise could be at your position in two days, Admiral."
9,Star Trek: Insurrection,DOUGHERTY,That's probably not a good idea. Your ship hasn't been fitted for this region. There are environmental concerns.
9,Star Trek: Insurrection,PICARD,What kind of concerns?
9,Star Trek: Insurrection,DOUGHERTY,We haven't fully identified the anomalies yet. They're calling this whole area the Briar Patch. It took us a day to reach a location where we could even get a signal to you. Just get me Data's schematics. I'll keep you informed. Dougherty out.
9,Star Trek: Insurrection,PICARD,His emotion chip?
9,Star Trek: Insurrection,GEORDI,He didn't take it with him. Send the Admiral Data's schematics.
9,Star Trek: Insurrection,FEMALE ENSIGN,Yes sir?
9,Star Trek: Insurrection,PICARD,"Ensign, would you report to the galley and tell the chef to skip the fish course."
9,Star Trek: Insurrection,FEMALE ENSIGN,Aye sir?
9,Star Trek: Insurrection,PICARD,I 'd like our guests to depart as soon as etiquette allows. I'm going to ask Worf to delay his return to DS9 so he can join us. We're going to stop by sector four four one on our way to the Goren system.
9,Star Trek: Insurrection,LAFORGE,"They are in opposite directions, sir."
9,Star Trek: Insurrection,PICARD,Are they?
9,Star Trek: Insurrection,RU'AFO,I never should have let you talk me into that duck blind in the first place. Your Federation procedures have made this mission ten times as difficult as it needed to be.
9,Star Trek: Insurrection,DOUGHERTY,Our procedures were in place to protect the planet's population from unnecessary risk.
9,Star Trek: Insurrection,RU'AFO,"Planet's population. Six hundred people. If you want to avoid unnecessary risks, next time leave your android home."
9,Star Trek: Insurrection,SO'NA OFFICER #1,Bridge to Ahdar Ru'afo. We're approaching the planet.
9,Star Trek: Insurrection,RU'AFO,"Take us into a high orbit. ...Lie down, Admiral. The girls will take twenty years off your face."
9,Star Trek: Insurrection,DOUGHERTY,"Another time, perhaps."
9,Star Trek: Insurrection,RU'AFO,"Ha, ha, ha. Your self-restraint puzzles me, Admiral. You continue to deny yourself every benefit this mission has to offer."
9,Star Trek: Insurrection,DOUGHERTY,I prefer to wait until we can share the benefits with all the people of the Federation.
9,Star Trek: Insurrection,RU'AFO,Report.
9,Star Trek: Insurrection,SO'NA OFFICER #1,Phaser blast. Unknown origin.
9,Star Trek: Insurrection,RU'AFO,Raise shields.
9,Star Trek: Insurrection,RU'AFO,Take us out of orbit.
9,Star Trek: Insurrection,TARLAC OFFICER,Photon torpedoes. Brace for impact!
9,Star Trek: Insurrection,SO'NA OFFICER #1,"The vessel has broken off pursuit, sir."
9,Star Trek: Insurrection,ELLORAN OFFICER #1,Visual contact!
9,Star Trek: Insurrection,DOUGHERTY,That's our ship.
9,Star Trek: Insurrection,LAFORGE,"Captain, we're about to lose all communications with Starfleet."
9,Star Trek: Insurrection,PICARD,Do you have everything you need from command?
9,Star Trek: Insurrection,TROI,I've downloaded all the files on the duck blind mission and the Son'a.
9,Star Trek: Insurrection,PICARD,"You have two days to become experts. ...Mister Worf, our job is to come up with a plan to safely capture Data."
9,Star Trek: Insurrection,WORF,I've already had Commander La Forge modify this tricorder with one of Data's actuation servos. Its operational range is only four meters but it will shut him down.
9,Star Trek: Insurrection,PICARD,"Good to have you back, Mister Worf. ...Slow to one-third. Take us in."
9,Star Trek: Insurrection,RIKER,"Half a century ago they conquered two primitive races, the Tarlac and the Ellora, and then integrated them into their culture as a labor class. ...Look at this. The Son'a are known to have produced vast quantities of the narcotic ketracel-white. Their ships are rumored to be equipped with isolytc subspace weapons outlawed by the second Khitomer Accords."
9,Star Trek: Insurrection,TROI,Why would we be involved with these people?
9,Star Trek: Insurrection,RIKER,Good question.
9,Star Trek: Insurrection,RIKER,You haven't done that in a long time.
9,Star Trek: Insurrection,TROI,What?
9,Star Trek: Insurrection,RIKER,What you're doing to my neck.
9,Star Trek: Insurrection,TROI,Was I doing something to your neck?
9,Star Trek: Insurrection,PICARD,Bridge to Commander Worf. ...Worf?
9,Star Trek: Insurrection,WORF,Captain?
9,Star Trek: Insurrection,PICARD,"I don't know how they do it on Deep Space 9, but on the Enterprise, we still report for duty on time."
9,Star Trek: Insurrection,WORF,"Sorry sir, I'm on my way."
9,Star Trek: Insurrection,PICARD,We'll skip the court martial this time. Picard out.
9,Star Trek: Insurrection,PICARD,When was the last time we aligned the torque sensors.
9,Star Trek: Insurrection,PERIM,"Two months ago, sir."
9,Star Trek: Insurrection,PICARD,They don't sound right.
9,Star Trek: Insurrection,LAFORGE,The torque sensors are out of alignment ...by twelve microns. You could hear that?
9,Star Trek: Insurrection,PICARD,"When I was an ensign, I could detect a three-micron misalignment."
9,Star Trek: Insurrection,DANIELS,"Excuse me, sir. The Son'a ship with Admiral Dougherty aboard has entered tracking range."
9,Star Trek: Insurrection,PICARD,"Straighten your baldric, Commander. On screen."
9,Star Trek: Insurrection,DOUGHERTY,"Captain, I wasn't expecting you."
9,Star Trek: Insurrection,PICARD,"This was too important for the Enterprise to be on the sidelines, Admiral."
9,Star Trek: Insurrection,DOUGHERTY,I wish I had better news. Commander Data attacked us in the mission scout ship yesterday. Ru'afo and I have decided to send in an assault team.
9,Star Trek: Insurrection,PICARD,Commander Worf and I are working on several tactical plans...
9,Star Trek: Insurrection,RU'AFO,"Your android has turned dangerously violent, Captain. Considerable damage was done to my ship. He must be destroyed."
9,Star Trek: Insurrection,DOUGHERTY,"I know what Data means to Starfleet, Jean-Luc, but our crew is at the mercy of those people on the planet."
9,Star Trek: Insurrection,PICARD,"If our first attempt to capture Data fails, I will terminate him. ...I should be the one to do it. I'm his Captain ...and his friend."
9,Star Trek: Insurrection,DOUGHERTY,"All right. You have twelve hours, Captain. Then I want you out of the Briar Patch. In the meantime, we'll head out to the perimeter to call for Son'a reinforcements in case you fail."
9,Star Trek: Insurrection,PICARD,Understood.
