number,title,character,line
10,Star Trek Nemesis,DATA,I will always be puzzled by the human predilection for piloting vehicles at unsafe velocities.
10,Star Trek Nemesis,DATA,"Over that rise, sir, ...half a kilometer."
10,Star Trek Nemesis,DATA,"The radiant electromagnetic field is interfering with my tricorder, but we are within a few meters of the signal."
10,Star Trek Nemesis,PICARD,Fan out. Let's search around.
10,Star Trek Nemesis,DATA,It appears to be a robotic arm.
10,Star Trek Nemesis,WORF,Very astute!
10,Star Trek Nemesis,PICARD,"Mister Worf, bring it to the vehicle."
10,Star Trek Nemesis,PICARD,This doesn't feel right.
10,Star Trek Nemesis,DATA,"The final signature is approximately one hundred meters to the north, sir."
10,Star Trek Nemesis,WORF,It's you!
10,Star Trek Nemesis,DATA,The resemblance is ...striking.
10,Star Trek Nemesis,DATA,Fascinating! Fascinating!
10,Star Trek Nemesis,PICARD,To the vehicle! ...I think it's time to try some unsafe velocities!
10,Star Trek Nemesis,B-4 HEAD,Why do you have a shiny head?
10,Star Trek Nemesis,DATA,This is not the appropriate time for a conversation.
10,Star Trek Nemesis,B-4 HEAD,Why?
10,Star Trek Nemesis,DATA,Because the Captain has to concentrate on piloting the vehicle.
10,Star Trek Nemesis,B-4 HEAD,Why?
10,Star Trek Nemesis,DATA,Because...
10,Star Trek Nemesis,PICARD,Data!
10,Star Trek Nemesis,DATA,Sorry sir.
10,Star Trek Nemesis,B-4 HEAD,Have I said something wrong?
10,Star Trek Nemesis,PICARD,Data.
10,Star Trek Nemesis,CRUSHER,"You know, all things considered, Data, I think you have nicer eyes."
10,Star Trek Nemesis,DATA,"Our eyes are identical, Doctor."
10,Star Trek Nemesis,RIKER,"So what have we got, Geordi?"
10,Star Trek Nemesis,LAFORGE,"Well, I'd say he has the same internal mechanics as Data but not as much positronic development. The neural pathways aren't nearly as sophisticated. I'd say he's a ...prototype. Something Doctor Soong created prior to Data."
10,Star Trek Nemesis,DATA,"Do you have a name, sir?"
10,Star Trek Nemesis,B-4 HEAD,I am ...B-4.
10,Star Trek Nemesis,PICARD,Be-four? Doctor Soong's penchant for whimsical names seems to have no end.
10,Star Trek Nemesis,DATA,Can you tell us how you came to be on the planet where we found you?
10,Star Trek Nemesis,B-4 HEAD,I do not know.
10,Star Trek Nemesis,DATA,Do you remember anything of your life before you were on the planet?
10,Star Trek Nemesis,B-4 HEAD,No. Why does the tall man have a furry face?
10,Star Trek Nemesis,PICARD,"Number One, keep me informed, and ...Geordi reassemble him."
10,Star Trek Nemesis,LAFORGE,Aye sir.
10,Star Trek Nemesis,DATA,"B-4, Do you know who I am?"
10,Star Trek Nemesis,B-4 HEAD,You are me.
10,Star Trek Nemesis,DATA,No. My name is Data. I am your brother.
10,Star Trek Nemesis,PICARD,"Tea, Earl Gray, hot."
10,Star Trek Nemesis,RIKER,"Captain, you have an alpha priority communication from Starfleet Command."
10,Star Trek Nemesis,PICARD,Acknowledged.
10,Star Trek Nemesis,PICARD,Admiral Janeway. How good to see you again.
10,Star Trek Nemesis,JANEWAY,"Jean Luc, ...how'd you like a trip to Romulus?"
10,Star Trek Nemesis,PICARD,With or without the rest of the fleet?
10,Star Trek Nemesis,JANEWAY,"A diplomatic mission. We've been invited, believe it or not."
10,Star Trek Nemesis,JANEWAY,"It seems there's been some kind of internal political shake-up. The new Praetor, someone called Shinzon,..."
10,Star Trek Nemesis,JANEWAY,...has requested a Federation envoy.
10,Star Trek Nemesis,PICARD,New Praetor?
10,Star Trek Nemesis,JANEWAY,There's more. ...He's Reman.
10,Star Trek Nemesis,JANEWAY,"Believe me, we don't understand it either."
10,Star Trek Nemesis,JANEWAY,"Your'e the closest ship so I want you to go and hear what he has to say. Get the lay of the land, If the Empire becomes unstable,..."
10,Star Trek Nemesis,JANEWAY,...it could mean trouble for the entire Quadrant.
10,Star Trek Nemesis,PICARD,Understood.
10,Star Trek Nemesis,JANEWAY,"We're sending you all the intelligence we have,..."
10,Star Trek Nemesis,JANEWAY,"...but it's not much. I don't need to tell you to watch your back, Jean Luc."
10,Star Trek Nemesis,PICARD,Hardly.
10,Star Trek Nemesis,JANEWAY,"The Son'a, the Borg,..."
10,Star Trek Nemesis,JANEWAY,...the Romulans. ...You seem to get all the easy assignments!
10,Star Trek Nemesis,PICARD,"Just lucky, Admiral."
10,Star Trek Nemesis,JANEWAY,Let's hope...
10,Star Trek Nemesis,JANEWAY,...that luck holds. Janeway out.
10,Star Trek Nemesis,PICARD,"Helmsman, lay in a new course. Take us to Romulus. Warp eight."
10,Star Trek Nemesis,HELM OFFICER,"Aye aye, sir. Course plotted and laid in."
10,Star Trek Nemesis,RIKER,Romulus?
10,Star Trek Nemesis,PICARD,"I'm afraid the Opal Sea will have to wait, Number One. Engage."
