number,title,character,line
2,Star Trek II: The Wrath of Khan,KIRK,"'It was the best of times, it was the worst of times' ...Message, Spock?"
2,Star Trek II: The Wrath of Khan,SPOCK,"None of that I'm conscious of ...except, of course, happy birthday, ...surely the best of times."
2,Star Trek II: The Wrath of Khan,TANNOY VOICE,"Captain Spock, Captain Spock, space shuttle leaving in fifteen minutes."
2,Star Trek II: The Wrath of Khan,KIRK,"Where are you off to, now?"
2,Star Trek II: The Wrath of Khan,SPOCK,The Enterprise. I must check in before your inspection. And you?
2,Star Trek II: The Wrath of Khan,KIRK,Home.
2,Star Trek II: The Wrath of Khan,KIRK,"Why! Bless me, Doctor! What beams you into this neck of the woods?"
2,Star Trek II: The Wrath of Khan,MCCOY,"'Beware Romulans bearing gifts.' Happy Birthday, Jim."
2,Star Trek II: The Wrath of Khan,KIRK,"Romulan Ale! Why, Bones, you know this is illegal."
2,Star Trek II: The Wrath of Khan,MCCOY,I only use it for medicinal purposes. I got aboard a ship that brings me in a case every now and then across the Neutral Zone. Now don't be a prig.
2,Star Trek II: The Wrath of Khan,KIRK,"Twenty-two, eighty-three."
2,Star Trek II: The Wrath of Khan,MCCOY,"Yeah well it takes this stuff a while to ferment. Here now, gimme. ...Now you open this one."
2,Star Trek II: The Wrath of Khan,KIRK,I'm almost afraid to. What is it? Klingon aphrodisiacs?
2,Star Trek II: The Wrath of Khan,MCCOY,No.
2,Star Trek II: The Wrath of Khan,KIRK,"Oh. ...Bones, this is ...charming."
2,Star Trek II: The Wrath of Khan,MCCOY,"For most patients of your age, I generally administer Retnax Five."
2,Star Trek II: The Wrath of Khan,KIRK,I'm allergic to Retnax Five.
2,Star Trek II: The Wrath of Khan,MCCOY,Exactly. Cheers!
2,Star Trek II: The Wrath of Khan,KIRK,Cheers! ...Aahh!
2,Star Trek II: The Wrath of Khan,MCCOY,Happy Birthday!
2,Star Trek II: The Wrath of Khan,KIRK,I don't know what to say.
2,Star Trek II: The Wrath of Khan,MCCOY,Well you could say thank you.
2,Star Trek II: The Wrath of Khan,KIRK,Thank you.
2,Star Trek II: The Wrath of Khan,MCCOY,"Damn it, Jim, what the hell's the matter with you? Other people have birthdays. Why are we treating yours like a funeral?"
2,Star Trek II: The Wrath of Khan,KIRK,"Bones, I don't want to be lectured."
2,Star Trek II: The Wrath of Khan,MCCOY,"What the hell do you want? ...This is not about age, ...and you know it. This is about you flying a goddamn computer console when you wanna be out there hopping Galaxies."
2,Star Trek II: The Wrath of Khan,KIRK,"Spare me your notions of poetry, please. We all have our assigned duties."
2,Star Trek II: The Wrath of Khan,MCCOY,Bull. You're hiding ...hiding behind rules and regulations.
2,Star Trek II: The Wrath of Khan,KIRK,Who am I hiding from?
2,Star Trek II: The Wrath of Khan,MCCOY,"From yourself, Admiral!"
2,Star Trek II: The Wrath of Khan,KIRK,"Don't mince words, Bones, What do you really think?"
2,Star Trek II: The Wrath of Khan,MCCOY,"Jim, I'm your doctor and I'm your friend. Get back your command. Get it back before you turn into part of this collection. Before you really do grow old. Starship log, stardate 8130.4. Log entry by First Officer Pavel Chekov. Starship Reliant on orbital approach to Ceti Alpha VI, in connection with Project Genesis. We are continuing our search for a lifeless planet to satisfy the requirements of a test site for the Genesis Experiment. So far no success."
2,Star Trek II: The Wrath of Khan,TERRELL,Standard orbit please. Mister Beach. Any change in the surface scan?
2,Star Trek II: The Wrath of Khan,BEACH,"Negative. Limited atmosphere, dominated by craylon gas, sand and high velocity winds. It's incapable of supporting lifeforms."
2,Star Trek II: The Wrath of Khan,CHEKOV,Does it have to be completely lifeless?
2,Star Trek II: The Wrath of Khan,TERRELL,Don't tell me you've found something.
2,Star Trek II: The Wrath of Khan,CHEKOV,We've picked up a minor energy flux reading on one dynoscanner.
2,Star Trek II: The Wrath of Khan,TERRELL,Damn! Are you sure? Maybe the scanner's out of adjustment.
2,Star Trek II: The Wrath of Khan,CHEKOV,I suppose it could be a particle of preanimate matter caught in the matrix.
2,Star Trek II: The Wrath of Khan,TERRELL,"All right, get on the Comm-pic to Doctor Marcus."
2,Star Trek II: The Wrath of Khan,KYLE,Aye sir.
2,Star Trek II: The Wrath of Khan,TERRELL,Maybe it's something we can transplant.
2,Star Trek II: The Wrath of Khan,CHEKOV,You know what she'll say.
2,Star Trek II: The Wrath of Khan,CAROL,Now let me get this straight. Something you can transplant?
2,Star Trek II: The Wrath of Khan,CHEKOV,"Yes, Doctor."
2,Star Trek II: The Wrath of Khan,CAROL,Something you can transplant? I don't know.
2,Star Trek II: The Wrath of Khan,TERRELL,It might only be a particle of preanimate matter.
2,Star Trek II: The Wrath of Khan,CAROL,Then again it may not. You boys have to be clear on this. There can't be so much as a microbe or the show's off. Why don't you have a look? But if it is something that can be moved I want...
2,Star Trek II: The Wrath of Khan,TERRELL,"You bet, Doctor. We're on our way!"
2,Star Trek II: The Wrath of Khan,DAVID,"Well, don't have kittens. Genesis is going to work. They'll remember you in one breath with Newton, Einstein, Surak."
2,Star Trek II: The Wrath of Khan,CAROL,Thanks a lot. No respect from my offspring.
2,Star Trek II: The Wrath of Khan,DAVID,Par for the course. Are you teaming up with me for bridge after dinner?
2,Star Trek II: The Wrath of Khan,CAROL,Maybe. ...What is it?
2,Star Trek II: The Wrath of Khan,DAVID,"Every time we have dealings with Starfleet, I get nervous. ...We are dealing with something that could be perverted into a dreadful weapon. Remember that overgrown Boy Scout you used to hang around with? That's exactly the kind of man..."
2,Star Trek II: The Wrath of Khan,CAROL,"Listen, kiddo, Jim Kirk was many things, but he was never a Boy Scout!"
2,Star Trek II: The Wrath of Khan,RELIANT VOICE,"Captain Terrell, stand by to beam down."
2,Star Trek II: The Wrath of Khan,TERRELL,"Chekov, are you sure these are the correct coordinates?"
2,Star Trek II: The Wrath of Khan,CHEKOV,"Captain, this is the garden spot of Ceti Alpha Six."
2,Star Trek II: The Wrath of Khan,TERRELL,I can barely see it.
2,Star Trek II: The Wrath of Khan,CHEKOV,There's nothing here. The tricorder must be broken.
2,Star Trek II: The Wrath of Khan,TERRELL,"Chekov, over here. Those look like cargo carriers. Hey, give me a hand."
2,Star Trek II: The Wrath of Khan,TERRELL,"What the hell happened? If they crashed, where's the rest of the ship?"
2,Star Trek II: The Wrath of Khan,TERRELL,What the hell is that?
2,Star Trek II: The Wrath of Khan,CHEKOV,Botany Bay. ...Botany Bay! ...Oh no! We've got to get out of here now! Damn!
2,Star Trek II: The Wrath of Khan,TERRELL,What about the...
2,Star Trek II: The Wrath of Khan,CHEKOV,Never mind! Hurry! Hurry!
2,Star Trek II: The Wrath of Khan,TERRELL,"Chekov, what's the matter with you? ...Chekov!"
2,Star Trek II: The Wrath of Khan,CHEKOV,Come on! Hurry!
2,Star Trek II: The Wrath of Khan,KYLE,"Starship Reliant to Captain Terrell, ...this is Commander Kyle. Will you please respond, Captain? Captain Terrell, respond please."
2,Star Trek II: The Wrath of Khan,BEACH,Let's give them a little more time.
2,Star Trek II: The Wrath of Khan,CHEKOV,Khan!
2,Star Trek II: The Wrath of Khan,KHAN,"I don't know you. ...But you, ...I never forget a face, Mister ...Chekov. Isn't it? I never thought to see your face again."
2,Star Trek II: The Wrath of Khan,TERRELL,"Chekov, who is this man?"
2,Star Trek II: The Wrath of Khan,CHEKOV,"A criminal, Captain, ...a product of late twentieth century genetic engineering."
2,Star Trek II: The Wrath of Khan,TERRELL,"What do you want with us? Sir, I demand..."
2,Star Trek II: The Wrath of Khan,KHAN,"You are in a position to demand nothing, sir. I, on the other hand, am in a position to grant ...nothing. What you see is all that remains of the ship's company and crew of the Botany Bay, marooned here fifteen years ago by Captain James T. Kirk."
2,Star Trek II: The Wrath of Khan,TERRELL,"Listen, you men and women, you have a..."
2,Star Trek II: The Wrath of Khan,KHAN,"Captain! Captain! Save your strength. These people have sworn to live and die at my command two hundred years before you were born. Do you mean he never told you the tale? To amuse your Captain? No? Never told you how the Enterprise picked up the Botany Bay, lost in space in the year nineteen hundred and ninety-six, myself and the ship's company in cryogenic freeze?"
2,Star Trek II: The Wrath of Khan,TERRELL,I've never even met Admiral Kirk.
2,Star Trek II: The Wrath of Khan,KHAN,Admiral? Admiral! Admiral... Never told you how Admiral Kirk sent seventy of us into exile on this barren sand heap with only the contents of these cargo bays to sustain us?
2,Star Trek II: The Wrath of Khan,CHEKOV,"You lie! On Ceti Alpha Five there was life, a fair chance."
2,Star Trek II: The Wrath of Khan,KHAN,"This is Ceti Alpha Five. ...Ceti Alpha Six exploded six months after we were left here. The shock shifted the orbit of this planet and everything was laid waste. Admiral Kirk ...never bothered to check on our progress. It was only the fact of my genetically engineered intellect that enabled us to survive! On Earth, ...two hundred years ago, ...I was a prince, ...with power over millions."
2,Star Trek II: The Wrath of Khan,CHEKOV,Captain Kirk was your host! You repaid his hospitality by trying to steal his ship and murder him.
2,Star Trek II: The Wrath of Khan,KHAN,"You didn't expect to find me. You thought this was Ceti Alpha Six! Why are you here? ...Why are you here? ...Why? ...Allow me introduce you to Ceti Alpha Five's only remaining indigenous lifeform. ...What do you think? They've killed twenty of my people, including my beloved wife. ...Oh, not all at once, ...and not ...instantly, to be sure. ...You see, their young enter through the ears ...and wrap themselves around the cerebral cortex. This has the effect of rendering the victim extremely susceptible to suggestion. Later, ...they grow, ...follows madness. ...And death."
2,Star Trek II: The Wrath of Khan,CHEKOV,"Khan, listen to me!"
2,Star Trek II: The Wrath of Khan,KHAN,"These are pets, of course. Not quite domesticated."
2,Star Trek II: The Wrath of Khan,CHEKOV,Khan! Captain Kirk was only doing his duty!
2,Star Trek II: The Wrath of Khan,TERRELL,No! No!
2,Star Trek II: The Wrath of Khan,KHAN,That's better! Now tell me ...why you are here? ...And tell me where I may find James Kirk.
2,Star Trek II: The Wrath of Khan,ENTERPRISE VOICE,Enterprise to Admiral Kirk's shuttle. You're cleared for docking. Approach portside torpedo bay.
2,Star Trek II: The Wrath of Khan,SULU,"Enterprise, this is Admiral Kirk's party on final approach."
2,Star Trek II: The Wrath of Khan,ENTERPRISE VOICE,Enterprise welcomes you. Prepare for docking.
2,Star Trek II: The Wrath of Khan,KIRK,I hate inspections.
2,Star Trek II: The Wrath of Khan,SULU,"I'm delighted, any chance to go aboard the Enterprise."
2,Star Trek II: The Wrath of Khan,KIRK,"Well, I for one am glad to have you at the helm for three weeks. I don't think these kids can steer."
2,Star Trek II: The Wrath of Khan,SPOCK,Open the Air Lock.
2,Star Trek II: The Wrath of Khan,KIRK,"Permission to come aboard, Captain?"
2,Star Trek II: The Wrath of Khan,SPOCK,"Welcome, Admiral. I think you know my trainee crew. Certainly they have come to know you."
2,Star Trek II: The Wrath of Khan,KIRK,"Yes, we've been through death and life together."
2,Star Trek II: The Wrath of Khan,KIRK,"Mister Scott, you old space dog. You're well?"
2,Star Trek II: The Wrath of Khan,SCOTT,"I had me a wee bout, sir, but Doctor McCoy pulled me through."
2,Star Trek II: The Wrath of Khan,KIRK,Oh? A wee bout of what?
2,Star Trek II: The Wrath of Khan,MCCOY,"Shore leave, Admiral."
2,Star Trek II: The Wrath of Khan,KIRK,Ah. And who do we have here?
2,Star Trek II: The Wrath of Khan,PRESTON,"Midshipman First Class Peter Preston, engineers mate, sir!"
2,Star Trek II: The Wrath of Khan,KIRK,"First training voyage, Mister Preston?"
2,Star Trek II: The Wrath of Khan,PRESTON,Yes sir!
2,Star Trek II: The Wrath of Khan,KIRK,"Well, ...shall we start with the Engine Room?"
2,Star Trek II: The Wrath of Khan,SCOTT,"We'll see you there, sir, and everything is in order."
2,Star Trek II: The Wrath of Khan,KIRK,"That'll be a pleasant surprise, Mister Scott."
2,Star Trek II: The Wrath of Khan,SPOCK,"I'll see you on the bridge, Admiral. Company dismissed!"
2,Star Trek II: The Wrath of Khan,SAAVIK,"He's never what I expect, sir."
2,Star Trek II: The Wrath of Khan,SPOCK,"What surprises you, Lieutenant?"
2,Star Trek II: The Wrath of Khan,SAAVIK,He's so ...human.
2,Star Trek II: The Wrath of Khan,SPOCK,"Nobody's perfect, Saavik."
2,Star Trek II: The Wrath of Khan,KIRK,"Well, Mister Scott, are your cadets capable of handling a minor training cruise?"
2,Star Trek II: The Wrath of Khan,SCOTT,"Give the word, Admiral!"
2,Star Trek II: The Wrath of Khan,KIRK,"Mister Scott, the word is given."
2,Star Trek II: The Wrath of Khan,SCOTT,Aye sir.
2,Star Trek II: The Wrath of Khan,MCCOY,"Admiral, what about the rest of the inspection?"
2,Star Trek II: The Wrath of Khan,KIRK,Later.
2,Star Trek II: The Wrath of Khan,STARFLEET VOICE,This is Starfleet Operations. Enterprise is cleared for departure.
2,Star Trek II: The Wrath of Khan,SULU,Admiral on the bridge!
2,Star Trek II: The Wrath of Khan,SAAVIK,Running lights on.
2,Star Trek II: The Wrath of Khan,SPOCK,"Very well, Mister Saavik, you may clear all moorings."
2,Star Trek II: The Wrath of Khan,SAAVIK,"Aye sir. ...All moorings are clear, Captain."
2,Star Trek II: The Wrath of Khan,SPOCK,"Thank you. ...Lieutenant, have you ever piloted a starship out of Spacedock?"
2,Star Trek II: The Wrath of Khan,SAAVIK,"Never, sir."
2,Star Trek II: The Wrath of Khan,SPOCK,"Take her out, Mister Saavik."
2,Star Trek II: The Wrath of Khan,SAAVIK,Aye sir.
2,Star Trek II: The Wrath of Khan,SPOCK,"For everything there is a first time, Lieutenant. Don't you agree, Admiral?"
2,Star Trek II: The Wrath of Khan,KIRK,Mmm.
2,Star Trek II: The Wrath of Khan,SAAVIK,"Aft thrusters, Mister Sulu."
2,Star Trek II: The Wrath of Khan,SULU,Aft thrusters.
2,Star Trek II: The Wrath of Khan,MCCOY,Would you like a tranquilizer?
2,Star Trek II: The Wrath of Khan,SAAVIK,Ahead one-quarter impulse power.
2,Star Trek II: The Wrath of Khan,SULU,Ahead one-quarter impulse power.
2,Star Trek II: The Wrath of Khan,SULU,We are clear and free to navigate.
2,Star Trek II: The Wrath of Khan,SAAVIK,"Course heading, Captain?"
2,Star Trek II: The Wrath of Khan,KIRK,Captain's discretion.
2,Star Trek II: The Wrath of Khan,SPOCK,"Mister Sulu, you may ...indulge yourself."
2,Star Trek II: The Wrath of Khan,SULU,Aye sir.
2,Star Trek II: The Wrath of Khan,DAVID,Does that about do it?
