number,title,character,line
6,Star Trek VI: The Undiscovered Country,SPOCK,There's an old Vulcan proverb. 'Only Nixon could go to China.'
6,Star Trek VI: The Undiscovered Country,KIRK,How could you vouch for me? That's ...arrogant presumption.
6,Star Trek VI: The Undiscovered Country,SPOCK,My father requested that I open negotia...
6,Star Trek VI: The Undiscovered Country,KIRK,"I know your father's the Vulcan Ambassador for heaven's sake, but you know how I feel about this. They're animals!"
6,Star Trek VI: The Undiscovered Country,SPOCK,"Jim, there is an historic opportunity here."
6,Star Trek VI: The Undiscovered Country,KIRK,Don't believe them! Don't trust them!
6,Star Trek VI: The Undiscovered Country,SPOCK,They are dying.
6,Star Trek VI: The Undiscovered Country,KIRK,Let them die! Has it occurred to you that this crew is due to stand down in three months? We've done our bit for King and Country. You should have trusted me.
6,Star Trek VI: The Undiscovered Country,SHUTTLECRAFT VOICE,"Control, this is SD one zero three approaching Spacedock."
6,Star Trek VI: The Undiscovered Country,SPACEDOCK VOICE,"SD one zero three, you are clear to deliver Captain Kirk and party to NCC one seven zero one alpha. Over."
6,Star Trek VI: The Undiscovered Country,VALERIS,Captain on the bridge.
6,Star Trek VI: The Undiscovered Country,KIRK,As you were. ...Lieutenant?
6,Star Trek VI: The Undiscovered Country,VALERIS,"Valeris, sir. We were told that you needed a helmsman so I volunteered."
6,Star Trek VI: The Undiscovered Country,SPOCK,"Lieutenant, It is agreeable to see you again. The Lieutenant was the first Vulcan to be graduated at the top of the class at the Academy."
6,Star Trek VI: The Undiscovered Country,KIRK,You must be very proud.
6,Star Trek VI: The Undiscovered Country,VALERIS,"I don't believe so, sir."
6,Star Trek VI: The Undiscovered Country,MCCOY,She's a Vulcan all right.
6,Star Trek VI: The Undiscovered Country,KIRK,Let's get this over with. Departure stations. ...Scotty?
6,Star Trek VI: The Undiscovered Country,SCOTT,Aye sir?
6,Star Trek VI: The Undiscovered Country,KIRK,Did you find the engine room?
6,Star Trek VI: The Undiscovered Country,SCOTT,"Right where I left it, sir."
6,Star Trek VI: The Undiscovered Country,KIRK,"Standby. Uhura, get me the dock master."
6,Star Trek VI: The Undiscovered Country,UHURA,"Control tower, reading, sir."
6,Star Trek VI: The Undiscovered Country,KIRK,"Control, this is Enterprise ...requesting permission to depart."
6,Star Trek VI: The Undiscovered Country,SPACEDOCK VOICE,"This is control. Enterprise, Permission to depart granted. ...Thirty seconds for port gates."
6,Star Trek VI: The Undiscovered Country,VALERIS,Clear all moorings.
6,Star Trek VI: The Undiscovered Country,KIRK,Awaiting port gates from this mark.
6,Star Trek VI: The Undiscovered Country,SPACEDOCK VOICE,All lines cleared.
6,Star Trek VI: The Undiscovered Country,VALERIS,Aft thrusters.
6,Star Trek VI: The Undiscovered Country,KIRK,"Thank you. Lieutenant, one-quarter impulse power."
6,Star Trek VI: The Undiscovered Country,VALERIS,"Captain, may I remind you that regulations specify thrusters only while in Spacedock?"
6,Star Trek VI: The Undiscovered Country,SPOCK,Hm. Hm.
6,Star Trek VI: The Undiscovered Country,MCCOY,Jim?
6,Star Trek VI: The Undiscovered Country,KIRK,"You heard the order, Lieutenant."
6,Star Trek VI: The Undiscovered Country,VALERIS,"Aye sir. Captain's log, stardate 9522.6. I've never trusted Klingons, and I never will."
6,Star Trek VI: The Undiscovered Country,VALERIS,Hm! ...Sir.
6,Star Trek VI: The Undiscovered Country,KIRK,You could have knocked.
6,Star Trek VI: The Undiscovered Country,VALERIS,"We are almost at the rendezvous, sir. I thought that you would like to know."
6,Star Trek VI: The Undiscovered Country,KIRK,Right.
6,Star Trek VI: The Undiscovered Country,VALERIS,"Permission to speak freely, sir? ...It is an honor to serve with you."
6,Star Trek VI: The Undiscovered Country,KIRK,"You piloted well out of Spacedock, Lieutenant."
6,Star Trek VI: The Undiscovered Country,VALERIS,I always wanted to try that.
6,Star Trek VI: The Undiscovered Country,SPOCK,"You've done well, Valeris. As your sponsor at the Academy I've followed your career with satisfaction. And as a Vulcan, you have exceeded my expectations."
6,Star Trek VI: The Undiscovered Country,VALERIS,I do not understand this representation.
6,Star Trek VI: The Undiscovered Country,SPOCK,It's a depiction from ancient Earth mythology. 'The Expulsion from Paradise.'
6,Star Trek VI: The Undiscovered Country,VALERIS,Why keep it in your quarters?
6,Star Trek VI: The Undiscovered Country,SPOCK,To be a reminder to me that all things end.
6,Star Trek VI: The Undiscovered Country,VALERIS,"It is of endings that I wish to speak. Sir, I address you as a kindred intellect. Do you not recognize ...that a turning point has been reached in the affairs of the Federation?"
6,Star Trek VI: The Undiscovered Country,SPOCK,"History is replete with turning points, Lieutenant. You must have faith."
6,Star Trek VI: The Undiscovered Country,VALERIS,Faith?
6,Star Trek VI: The Undiscovered Country,SPOCK,That the universe will unfold as it should.
6,Star Trek VI: The Undiscovered Country,VALERIS,But is this logical? Surely we must...
6,Star Trek VI: The Undiscovered Country,SPOCK,"Logic? ...Logic is the beginning of wisdom, Valeris, not the end. ...This will be my final voyage on board this vessel as a member of her crew. Nature abhors a vacuum. I intend you to replace me."
